"district_code","person_count","year"
3504,"89986",2005
3806,"177287",2002
3212,"52882",2006
3803,"277975",2003
3401,"52723",2003
3211,"109862",2003
3714,"118646",2012
3408,"45823",2005
3811,"37968",2019
3704,"116291",2019
3810,"141896",2020
3306,"51548",2008
3711,"144010",2003
3405,"185275",2012
3505,"171385",2013
3811,"42597",2000
3610,"120022",2005
3410,"53125",2011
3501,"102816",2014
3709,"108757",2016
3406,"63524",2003
3609,"104189",2015
9999,"1243201",2013
3702,"370505",2002
3801,"95873",2012
3809,"121785",2015
3805,"233992",2016
3404,"87622",2011
3811,"37709",2020
3410,"51573",2003
3207,"127592",2021
3404,"86253",2020
3806,"177173",2011
3705,"192635",2015
3308,"102464",2014
3503,"124644",2014
3606,"172224",2021
3604,"79686",2011
3809,"124405",2009
3606,"159998",2002
3507,"86782",2011
3506,"118243",2008
3409,"90801",2013
3305,"70550",2008
3307,"69773",2021
9999,"1160118",2001
3406,"68406",2013
3508,"114419",2013
3212,"54959",2009
3509,"127980",2006
3410,"53049",2012
3603,"106398",2022
3503,"124751",2018
3305,"70144",2005
3707,"113664",2020
3501,"102462",2006
3808,"131124",2015
3304,"72958",2007
3306,"50779",2020
3713,"112459",2005
3302,"61173",2013
3204,"91251",2006
3501,"103254",2007
3510,"119512",2015
3206,"107237",2017
3506,"119318",2012
3402,"91837",2016
3505,"173890",2021
3207,"123141",2009
3706,"161068",2000
3713,"112311",2003
3602,"162377",2008
3506,"119070",2013
3410,"53587",2018
3710,"114127",2003
3406,"68531",2014
3403,"117754",2006
3203,"168708",2022
3212,"55562",2019
3409,"87503",2020
3303,"90401",2022
3408,"50258",2022
3707,"112220",2013
3206,"97696",2007
3201,"96718",2014
3204,"103894",2021
3714,"118273",2015
3406,"63857",2004
3505,"175626",2019
3604,"77038",2000
3806,"176820",2007
9999,"1259079",2014
3208,"101120",2021
3811,"41095",2010
3713,"113462",2021
3806,"175777",2020
3306,"51323",2000
3807,"338706",2004
3202,"87964",2013
3210,"149338",2019
3302,"61516",2008
3303,"89283",2021
3505,"171756",2014
3806,"175042",2022
3506,"114422",2001
3201,"92587",2007
3304,"72061",2014
3610,"119996",2002
3305,"70769",2021
3707,"113153",2018
3209,"176203",2017
3803,"276660",2005
3611,"137560",2002
3801,"93718",2015
3403,"119289",2010
3404,"86617",2015
3510,"116916",2021
3305,"70138",2004
3706,"156517",2011
3502,"135441",2007
3602,"161349",2007
3712,"94274",2022
3707,"110477",2005
3308,"102167",2005
3506,"114497",2002
3607,"78424",2021
3609,"104401",2018
3410,"52837",2015
3211,"114057",2014
3805,"228783",2002
3303,"93449",2000
3705,"192910",2013
3704,"112954",2006
3606,"170848",2016
3504,"89581",2004
3307,"71054",2008
3203,"151979",2000
3714,"118875",2011
3807,"326874",2013
3608,"72777",2014
3601,"95618",2007
3802,"214587",2020
3510,"120197",2007
3301,"178445",2001
3307,"70738",2018
3203,"160742",2010
3502,"133734",2003
3714,"119718",2010
3811,"36991",2022
3609,"104166",2016
3809,"119967",2020
3711,"142989",2014
3708,"107564",2005
3805,"228815",2004
3805,"233588",2021
3508,"114795",2011
3308,"102322",2006
3611,"139178",2011
3406,"64294",2005
3208,"86748",2006
3804,"150654",2011
3504,"89671",2001
3801,"100598",2000
3307,"70514",2013
3801,"97369",2010
3610,"117192",2022
3803,"273137",2009
3703,"219903",2017
3702,"369559",2003
3306,"51471",2010
3808,"134895",2002
3710,"112076",2014
3408,"46117",2006
3611,"139114",2010
3801,"96329",2011
3809,"118397",2021
3704,"113842",2010
3608,"73151",2010
3710,"113330",2011
3810,"143874",2012
3507,"86691",2019
3305,"70310",2007
3509,"129985",2009
3703,"198379",2008
3714,"119159",2005
3208,"92579",2010
9999,"1170571",2004
3709,"109524",2002
3205,"73295",2004
3408,"47341",2008
3701,"108801",2018
3607,"78263",2001
3409,"93434",2003
3401,"54711",2014
3604,"79618",2009
3608,"72997",2005
3504,"91320",2015
3308,"102595",2019
3306,"50971",2018
3602,"163378",2010
3810,"140171",2021
3604,"78713",2021
3206,"104169",2011
3607,"80186",2022
3805,"229158",2001
3201,"91039",2005
3303,"91359",2015
3605,"111595",2013
3410,"56906",2022
3408,"47613",2011
3205,"76310",2020
3601,"95091",2011
3208,"83354",2002
3402,"92636",2022
3712,"86763",2005
3301,"179639",2004
3204,"95314",2009
3805,"235441",2020
3303,"91125",2016
3307,"69539",2005
3605,"110420",2017
3405,"179068",2001
3205,"75004",2010
3710,"111069",2018
3208,"85577",2005
3508,"116786",2002
9999,"1357326",2022
3703,"206501",2011
3204,"90649",2005
3709,"108669",2017
3710,"111873",2015
3608,"73489",2001
3206,"109354",2021
3203,"157375",2008
3701,"108126",2015
3402,"91563",2017
3508,"116832",2006
3712,"92280",2019
3211,"112034",2009
3507,"85936",2005
3608,"73286",2011
3306,"51409",2006
3207,"115379",2005
3203,"166845",2020
3713,"113288",2011
3708,"106995",2012
3709,"109969",2000
3611,"135682",2021
3206,"102628",2010
3704,"113208",2002
3604,"79782",2018
3308,"102451",2020
3710,"114028",2008
3202,"85081",2010
3201,"97452",2016
3504,"92103",2010
3702,"377440",2014
3407,"69377",2002
3410,"53407",2010
3509,"128796",2013
3502,"133703",2001
3209,"108025",2002
3804,"154006",2000
3606,"172022",2017
3609,"102866",2021
3205,"73452",2003
3705,"193712",2009
3403,"117783",2005
3507,"86364",2020
3302,"59329",2000
3704,"115757",2017
3704,"112980",2004
3604,"79314",2012
3606,"173329",2018
3805,"235472",2019
3507,"87220",2010
3305,"70634",2014
3403,"119708",2000
3308,"102778",2008
3208,"96560",2014
3711,"144242",2007
3405,"178673",2002
3505,"170410",2010
3811,"41404",2008
3707,"112181",2011
3701,"107925",2014
3610,"120058",2011
3706,"156524",2010
3209,"151451",2011
3710,"109183",2021
3510,"120259",2011
3605,"112448",2002
3303,"92637",2006
3705,"193804",2005
3603,"103396",2003
3810,"143568",2013
3510,"119407",2018
3202,"89172",2014
3409,"89613",2015
3803,"249377",2017
3601,"94919",2001
3507,"87197",2008
3202,"83821",2009
3207,"126286",2015
3304,"72061",2015
3601,"94885",2014
3302,"61381",2018
3806,"177213",2008
3203,"158715",2009
3209,"185178",2019
3306,"51470",2007
3710,"112833",2012
3408,"48184",2016
3603,"104148",2014
3405,"185855",2009
3304,"72684",2001
3711,"139829",2021
3201,"90908",2003
3401,"54417",2009
3202,"79586",2006
3302,"61333",2011
3603,"104371",2011
3502,"126294",2021
3701,"106847",2011
3604,"80578",2022
3301,"188264",2012
3602,"159880",2004
3703,"225514",2021
3204,"94468",2008
3304,"72589",2002
3308,"102369",2015
3714,"119208",2004
3712,"92317",2021
3205,"73337",2002
3603,"103860",2007
3712,"90041",2013
3505,"173948",2017
3301,"193337",2017
3501,"102457",2004
3212,"54898",2021
3211,"114219",2016
3714,"119842",2000
3610,"119780",2003
3211,"110097",2002
3204,"103932",2020
3702,"379466",2021
3705,"196015",2001
3708,"107673",2006
3506,"119553",2017
3602,"159885",2003
3606,"168446",2010
3403,"118178",2003
3713,"112585",2006
3807,"336735",2008
3606,"167750",2011
3210,"158235",2022
3307,"70032",2006
3303,"92693",2007
3404,"84614",2021
3201,"90810",2004
3409,"88342",2018
3809,"121288",2016
3605,"112857",2000
3809,"126078",2001
3712,"86278",2002
3611,"138179",2015
3503,"124963",2013
3403,"115785",2016
3403,"118452",2011
3707,"112031",2008
3601,"95380",2000
3210,"86088",2002
3603,"104158",2017
3201,"99414",2019
3806,"177712",2001
3409,"93379",2005
3410,"51817",2006
3809,"124595",2006
3501,"103037",2012
3508,"115005",2012
3302,"61126",2015
3608,"73123",2004
3507,"85381",2021
3802,"214187",2018
3406,"70989",2022
3305,"70055",2000
3410,"52831",2013
3601,"94777",2004
3810,"145936",2001
3805,"232226",2010
3404,"86859",2014
3304,"72226",2018
3410,"52941",2021
3801,"91597",2019
3510,"118651",2020
3305,"70460",2011
3301,"200426",2022
3602,"161245",2000
3702,"366757",2005
3703,"188300",2004
3604,"79585",2008
3207,"129136",2018
3603,"103300",2004
3805,"233755",2015
3304,"71571",2021
3607,"78933",2013
3406,"68285",2011
3606,"168237",2012
3501,"102998",2020
3804,"152066",2003
3809,"120991",2017
3713,"113307",2008
3210,"116730",2009
3802,"209316",2004
3504,"91797",2017
